Front,Back,Tags,Stability,Difficulty,IntervalDays,SuggestedNextDate,Status
银行家算法安全性检测中，为何要确保搜索序列不遗漏分支？,安全性检测需遍历所有可能的资源分配序列，若遗漏分支可能误判系统处于安全状态，导致实际运行时死锁。,408-操作系统 死锁-银行家算法 retesting bootstrapped,2.0,5.0,2,2026-09-16,retesting
死锁四个必要条件与破坏策略之间的对应关系如何？,互斥条件→剥夺资源；持有并等待→一次性申请；不可抢占→允许抢占；循环等待→资源有序分配，记错对应关系会导致策略无效。,408-操作系统 死锁-必要条件 pending bootstrapped,4.0,5.0,4,2026-09-18,pending
LRU与FIFO页面置换算法的缺页数计算过程为何容易串页？,LRU按最近使用时间淘汰，FIFO按进入顺序淘汰，计算时若混淆两者的淘汰规则会导致缺页次数错误。,408-操作系统 内存管理-页面置换 due bootstrapped,7.0,5.0,7,2026-09-21,due
地址变换中页内偏移位数的计算依据是什么？,页内偏移位数由页大小决定，如页大小为4KB=2^12B，故页内偏移占12位，计算错误将导致地址映射失败。,408-操作系统 内存管理-分页 retesting bootstrapped,2.0,5.0,2,2026-09-16,retesting
缺页中断处理流程与缺页率的关系理解偏差体现在何处？,缺页中断处理流程影响系统开销，频繁缺页会增加调度成本，但缺页率并非越低越好，需平衡性能与内存使用。,408-操作系统 内存管理-虚拟内存 pending bootstrapped,4.0,5.0,4,2026-09-18,pending
FCB与索引节点的职责范围有何本质区别？,FCB存放文件控制信息（如权限、大小），索引节点存储文件物理位置和属性，二者分工明确，混淆会导致文件管理混乱。,408-操作系统 文件管理-文件系统 pending bootstrapped,4.0,5.0,4,2026-09-18,pending
SSTF与SCAN磁盘调度算法的移动臂道数计算方法有何不同？,SSTF选择距离当前位置最近的请求，扫描时按方向依次处理，计算道数时需考虑具体调度顺序，不可混淆算法逻辑。,408-操作系统 文件管理-磁盘调度 due bootstrapped,7.0,5.0,7,2026-09-21,due
位图法中块号与字节位换算为何容易出错？,块号从0开始编号，第i块位于第i//8个字节的第i%8位，换算时若混淆整除与取余运算会导致位图定位错误。,408-操作系统 文件管理-空闲空间管理 pending bootstrapped,4.0,5.0,4,2026-09-18,pending
设备独立性概念题为何不能答成设备驱动？,设备独立性是指用户程序不依赖具体物理设备，通过逻辑设备名访问，与设备驱动程序的功能不同，答偏会误解核心概念。,408-操作系统 IO管理-设备分配 due bootstrapped,7.0,5.0,7,2026-09-21,due
中断处理与进程切换的时序关系为何容易混淆？,中断处理发生在内核态，可能触发进程切换，但两者并非同步执行，中断响应优先于上下文切换，时序不可颠倒。,408-操作系统 IO管理-中断 pending bootstrapped,4.0,5.0,4,2026-09-18,pending
五状态模型中，阻塞与挂起的转换条件为何易记错？,阻塞是等待事件，挂起是将进程移出内存；挂起状态可解除挂起进入就绪，阻塞状态需等待事件后进入就绪，转换条件不同。,408-操作系统 进程管理-进程状态 pending bootstrapped,4.0,5.0,4,2026-09-18,pending
段页式地址结构为何不能与纯分页混淆？,段页式先分段再分页，地址结构为段号+页号+页内偏移，而纯分页只有页号+页内偏移，混淆会导致地址解析错误。,408-操作系统 内存管理-段页式 due bootstrapped,7.0,5.0,7,2026-09-21,due
资源分配图化简的约简顺序为何不能遗漏？,资源分配图化简需按“无等待进程”顺序逐步约简，若跳过某个可约简进程，可能导致误判系统处于死锁状态。,408-操作系统 死锁-检测与解除 retesting bootstrapped,2.0,5.0,2,2026-09-16,retesting
